ID,myVar,depth
169,403,47.1
170,482,47.1
171,482,47.1
172,432,47.1
173,432,47.1
174,432,47.1
175,420,47.1
176,420,47.1
177,505,47.1
178,505,47.1
179,351,47.1
180,351,47.1
181,357,47.1
182,357,47.1
183,357,47.1
184,441,47.1
185,423,47.1
186,423,47.1
187,423,47.1
188,515,47.1
189,515,47.1
190,515,47.1
191,515,47.1
192,365,47.1
193,237,47.1
194,237,47.1
195,237,47.1
196,237,47.1
197,237,47.1
198,417,47.1
199,417,47.1
200,423,47.1
201,423,47.1
202,423,47.1
203,423,47.1
204,492,47.1
205,492,47.1
206,492,47.1
207,255,47.1
208,255,47.1
209,255,47.1
210,255,47.1
211,270,47.1
212,270,47.1
213,270,47.1
214,270,47.1
215,159,47.1
216,159,47.1
217,159,47.1
218,319,47.1
219,319,47.1
220,319,47.1
221,319,47.1
222,437,47.1
223,437,47.1
224,408,47.1
225,352,47.1
226,352,47.1
227,352,47.1
228,258,47.1
229,374,47.1
230,374,47.1
231,413,47.1
232,419,47.1
233,419,47.1
234,419,47.1
235,357,47.1
236,357,47.1
237,372,47.1
238,297,47.1
239,297,47.1
240,297,47.1
241,342,47.1
242,342,47.1
243,407,47.1
244,407,47.1
245,407,47.1
246,407,47.1
247,407,47.1
248,477,47.1
249,477,47.1
250,477,47.1
251,462,47.1
252,462,47.1
253,462,47.1
254,478,47.1
255,478,47.1
256,621,47.1
257,621,47.1
258,407,47.1
259,407,47.1
260,477,47.1
261,477,47.1
262,477,47.1
263,478,47.1
264,621,47.1
265,621,47.1
266,136,27.8
267,417,27.8
268,417,27.8
269,417,27.8
270,417,27.8
271,490,27.8
272,288,43.6
273,390,43.6
274,463,43.6
275,555,43.6
276,426,43.6
277,242,43.6
278,458,43.6
279,375,43.6
280,351,43.6
281,442,43.6
282,540,43.6
283,361,43.6
284,375,43.6
285,225,43.6
286,350,43.6
287,253,43.6
288,331,43.6
289,419,43.6
290,150,43.6
291,161,43.6
292,520,43.6
293,428,3.5
294,546,21.6
295,511,40.4
296,562,40.4
297,411,40.4
298,514,40.4
299,425,40.4
300,163,40.4
301,137,40.4
302,160,40.4
303,240,40.4
304,150,40.4
305,150,40.4
306,141,40.4
307,144,40.4
308,676,29.1
309,434,29.1
310,676,29.1
311,434,29.1
312,441,69.2
313,441,69.2
314,441,69.2
315,531,69.2
316,125,69.2
317,441,69.2
318,531,69.2
319,599,69.2
320,552,69.2
321,517,69.2
322,486,69.2
323,599,69.2
324,182,69.2
325,284,69.2
326,552,69.2
327,552,69.2
328,517,69.2
329,486,69.2
330,182,69.2
331,284,69.2
332,440,40.7
333,440,40.7
334,481,40.7
335,481,40.7
336,448,58.2
337,448,58.2
338,448,58.2
339,525,3.5
340,683,30.8
341,480,30.8
342,584,30.8
343,584,30.8
344,722,30.8
345,633,30.8
346,538,29.7
347,548,29.7
348,437,59.2
349,437,59.2
350,437,59.2
351,437,59.2
352,437,59.2
353,383,59.2
354,400,59.2
355,232,59.2
356,232,59.2
357,232,59.2
358,390,59.2
359,390,59.2
360,390,59.2
361,333,59.2
362,333,59.2
363,333,59.2
364,333,59.2
365,333,59.2
366,447,59.2
367,447,59.2
368,447,59.2
369,447,59.2
370,429,59.2
371,429,59.2
372,429,59.2
373,429,59.2
374,429,59.2
375,298,59.2
376,339,59.2
377,297,59.2
378,384,59.2
379,384,59.2
380,384,59.2
381,384,59.2
382,308,59.2
383,308,59.2
384,308,59.2
385,308,59.2
386,308,59.2
387,308,59.2
388,308,59.2
389,333,59.2
390,333,59.2
391,333,59.2
392,333,59.2
393,333,59.2
394,333,59.2
395,333,59.2
396,319,59.2
397,270,59.2
398,270,59.2
399,270,59.2
400,403,59.2
